,FTG Epsilon,Similar Configurations,Total Misses,Miss Percentage,Wrong Predictions,Total Comparisons,Success Percentage
0,1.0,4,996,99.6,3,4,0.25
1,0.1,4,996,99.6,3,4,0.25
2,0.05,4,996,99.6,3,4,0.25
3,0.01,4,996,99.6,3,4,0.25
