,FTG Epsilon,Similar Configurations,Total Misses,Miss Percentage,Wrong Predictions,Total Comparisons,Success Percentage
0,1.0,7,993,99.3,6,7,0.14
1,0.1,7,993,99.3,6,7,0.14
2,0.05,7,993,99.3,6,7,0.14
3,0.01,7,993,99.3,6,7,0.14
