,FTG Epsilon,Similar Configurations,Total Misses,Miss Percentage,Wrong Predictions,Total Comparisons,Success Percentage
0,1.0,3,997,99.7,0,3,1.0
1,0.1,3,997,99.7,3,3,0.0
2,0.05,3,997,99.7,3,3,0.0
3,0.01,3,997,99.7,3,3,0.0
