PROGRESS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_1_POS,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND,FTG_HUM_1,FTG_HUM_2
5,5.03,2.14,0.74,0.25,214,43.0,56.0,d,e/u,d,e/u,"2916.38, 194.90","2874.44, 198.37",66.0,11.80994169,1.0,1.0,1,0.0
0,5.405137316,3.389178644,0.6666167546,0.1136480529,275,32.6097776,30.43044934,d,e/u,d,e/u,"1549.93, 226.38","3014.82, 769.25",60.33883814,11.26937099,0.0,0.0981446,0,0.2516
0,6.0,2.49,0.69,0.29,588,39.0,36.0,d,e/u,d,e/u,"3689.38, 746.45","1523.76, 782.97",66.0,11.21015176,0.897759,0.996418,1,0.2049
5,5.05,3.94,0.65,0.34,1,64.0,53.0,d,e/u,d,e/u,"2876.22, 194.31","2862.26, 197.30",91.0,11.47224932,1.0,1.0,1,0.0
3,7.41,3.84,0.78,0.14,345,86.0,43.0,d,e/u,d,e/u,"467.72, 168.68","2891.13, 195.11",42.0,11.63692741,0.332512,0.432506,0,0.0078
0,7.01,2.83,0.62,0.11,219,37.0,52.0,d,e/u,d,e/u,"2840.64, 167.73","70.28, 534.16",70.0,11.52576789,0.0,0.0981446,0,0.0
1,7.07,3.85,0.61,0.32,279,32.0,55.0,d,e/u,d,e/u,"352.49, 184.13","1003.85, 774.62",95.0,11.44581376,0.0619394,0.16173,0,0.8265
0,7.42,2.81,0.72,0.16,463,78.0,76.0,d,e/u,d,e/u,"314.92, 157.45","2292.61, 482.03",42.0,11.38093956,0.264825,0.364825,0,0.2041
5,6.84,4.09,0.55,0.4,1,82.0,90.0,d,e/u,d,e/u,"2645.07, 182.59","2848.97, 194.29",92.0,11.52430929,1.0,1.0,1,0.0
0,6.34,3.61,0.73,0.27,253,95.0,38.0,d,e/u,d,e/u,"2184.49, 263.17","70.15, 332.47",30.0,11.43779156,0.0,0.0981446,0,0.0
0,6.82,3.14,0.74,0.26,360,82.0,36.0,d,e/u,d,e/u,"4060.60, 216.13","2338.88, 323.46",72.0,11.58578257,0.901855,1.0,1,0.0454
0,6.456166113,3.096478797,0.7018352972,0.3132484127,285,65.8660482,70.99263293,d,e/u,d,e/u,"3766.18, 776.64","707.50, 747.35",83.9848851,11.42801708,0.18744,0.287382,0,0.2793
3,5.21,4.08,0.71,0.34,376,22.0,39.0,d,e/u,d,e/u,"593.41, 194.87","2983.08, 199.98",93.0,11.6439177,0.770904,0.870869,1,0.0029
4,6.26,2.38,0.77,0.39,313,72.0,59.0,d,e/u,d,e/u,"1550.08, 170.61","2968.74, 199.35",92.0,12.23122002,0.901855,1.0,1,0.9993
