PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS
0.0,6.66497161549066,2.136032348440958,0.740067744423307,0.3689707777827292,502.0,45.15777506606131,83.98832042665433,2.0,1.0,1.0,0.0,0.0,2.0,3400.55,234.86,1633.8,357.55,72.62928453927857,12.35844417,0.3250799131785715
5.0,5.861812990610694,3.845068991672139,0.5141625014911004,0.1870278144045364,181.0,74.86564004577245,44.11952872334752,1.0,0.0,0.0,1.0,1.0,1.0,2964.44,197.78,2878.99,197.35,39.355987441506265,11.46465434,0.1255682555000002
0.0,6.614258478335447,2.003377396733599,0.6226006453798097,0.28141097212787,466.0,98.22559005821446,59.43854875826588,0.0,0.0,1.0,1.0,0.0,1.0,3922.46,260.71,1380.68,415.8,77.42246381134562,11.65040445,0.1993652061666667
3.0,6.035544345956396,3.783885292155904,0.6777555996692795,0.3301057460783951,353.0,48.464961457712704,52.446995510828266,2.0,0.0,1.0,0.0,1.0,1.0,807.06,186.55,2842.21,194.08,72.7671851504405,11.46636967,0.06749267266666659
0.0,5.229201806200447,2.291084574036032,0.6685074724902743,0.3574385948421585,518.0,32.033290810031176,49.288415480377736,1.0,1.0,0.0,2.0,0.0,1.0,3669.82,251.12,3541.71,676.44,54.79722850100536,11.68937762,0.2964798141666665
0.0,6.337320814736722,2.151581382864729,0.7880356653861372,0.3998849995288877,275.0,39.1603607931393,61.81291979013864,2.0,1.0,1.0,0.0,1.0,0.0,1549.93,226.38,3014.82,769.25,78.46755127988436,11.26937099,0.13180490066666675
4.0,5.863856488953457,2.6134009439280623,0.7526474359928773,0.3997038699955998,138.0,82.51355294601419,42.44504668831399,1.0,1.0,0.0,0.0,1.0,0.0,1977.09,175.91,2875.56,195.56,91.8033621180605,11.91332962,0.6343007789999997
3.0,5.28364121965297,2.041529373370256,0.7810880305984111,0.3850265098184054,401.0,47.15457479635087,35.50288561914287,1.0,0.0,2.0,2.0,1.0,1.0,393.08,160.03,2878.52,194.36,39.00126048743715,12.11337733,0.2775144554166666
0.0,5.229201806200447,2.291084574036032,0.6685074724902743,0.3574385948421585,518.0,32.033290810031176,49.288415480377736,1.0,1.0,0.0,2.0,0.0,1.0,3669.82,251.12,3541.71,676.44,54.79722850100536,11.68937762,0.2964798141666665
0.0,6.89136021348395,4.023258614725415,0.7841757494123239,0.3808761606277503,355.0,99.14386081279083,38.35672679714339,1.0,1.0,1.0,1.0,1.0,1.0,751.28,209.26,618.66,271.69,78.60604111645354,12.23048952,0.1793971778333333
3.0,5.86937114607779,3.47059208991185,0.7083209045810364,0.3346437653190304,335.0,85.31709407981991,94.64534533277724,2.0,1.0,1.0,0.0,0.0,2.0,487.53,171.67,2889.94,193.49,78.98780852111462,12.30781347,0.19968168449999996
