Configuration_ID,Has_Match,mc_config,opt_config
929,False,,"{'PRGS': 2, 'ORCH_1_Dstop': 7.3, 'ORCH_1_Drestart': 4.14, 'ORCH_1_Fstop': 0.74, 'ORCH_1_Frestart': 0.19, 'PSCS__TAU': 193, 'HUM_1_VEL': 87.0, 'HUM_2_VEL': 82.0, 'HUM_1_FW': 1.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 2.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 294.08, 'HUM_1_POS_Y': 150.42, 'HUM_2_POS_X': 2864.51, 'HUM_2_POS_Y': 194.29, 'ROB_1_VEL': 50.0, 'ROB_1_CHG': 11.44156336, 'SCS': 0, 'FTG': 0.0}"
930,False,,"{'PRGS': 0, 'ORCH_1_Dstop': 7.29, 'ORCH_1_Drestart': 3.03, 'ORCH_1_Fstop': 0.75, 'ORCH_1_Frestart': 0.36, 'PSCS__TAU': 325, 'HUM_1_VEL': 64.0, 'HUM_2_VEL': 74.0, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 210.64, 'HUM_1_POS_Y': 762.82, 'HUM_2_POS_X': 1730.07, 'HUM_2_POS_Y': 368.56, 'ROB_1_VEL': 52.0, 'ROB_1_CHG': 12.21715198, 'SCS': 0, 'FTG': 0.0}"
931,False,,"{'PRGS': 3, 'ORCH_1_Dstop': 5.17, 'ORCH_1_Drestart': 4.01, 'ORCH_1_Fstop': 0.52, 'ORCH_1_Frestart': 0.36, 'PSCS__TAU': 323, 'HUM_1_VEL': 34.0, 'HUM_2_VEL': 21.0, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 618.66, 'HUM_1_POS_Y': 195.11, 'HUM_2_POS_X': 2895.71, 'HUM_2_POS_Y': 200.36, 'ROB_1_VEL': 40.0, 'ROB_1_CHG': 12.0736205, 'SCS': 1, 'FTG': 0.0}"
932,False,,"{'PRGS': 0, 'ORCH_1_Dstop': 7.29, 'ORCH_1_Drestart': 3.03, 'ORCH_1_Fstop': 0.75, 'ORCH_1_Frestart': 0.36, 'PSCS__TAU': 162, 'HUM_1_VEL': 64.0, 'HUM_2_VEL': 74.0, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 210.64, 'HUM_1_POS_Y': 762.82, 'HUM_2_POS_X': 1730.07, 'HUM_2_POS_Y': 368.56, 'ROB_1_VEL': 52.0, 'ROB_1_CHG': 12.16921658, 'SCS': 0, 'FTG': 0.0}"
933,False,,"{'PRGS': 0, 'ORCH_1_Dstop': 5.175653568, 'ORCH_1_Drestart': 3.302150545, 'ORCH_1_Fstop': 0.7741291051, 'ORCH_1_Frestart': 0.2077138232, 'PSCS__TAU': 428, 'HUM_1_VEL': 64.74944434, 'HUM_2_VEL': 79.46015426, 'HUM_1_FW': 1.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 2.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 1867.55, 'HUM_1_POS_Y': 234.08, 'HUM_2_POS_X': 2356.35, 'HUM_2_POS_Y': 560.55, 'ROB_1_VEL': 83.85787568, 'ROB_1_CHG': 11.9281727, 'SCS': 0, 'FTG': 0.0}"
934,False,,"{'PRGS': 0, 'ORCH_1_Dstop': 6.23, 'ORCH_1_Drestart': 3.65, 'ORCH_1_Fstop': 0.64, 'ORCH_1_Frestart': 0.17, 'PSCS__TAU': 219, 'HUM_1_VEL': 38.0, 'HUM_2_VEL': 98.0, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 0.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 206.72, 'HUM_1_POS_Y': 194.35, 'HUM_2_POS_X': 1495.42, 'HUM_2_POS_Y': 387.52, 'ROB_1_VEL': 33.0, 'ROB_1_CHG': 12.10531741, 'SCS': 0, 'FTG': 0.0}"
935,False,,"{'PRGS': 0, 'ORCH_1_Dstop': 7.01, 'ORCH_1_Drestart': 4.45, 'ORCH_1_Fstop': 0.66, 'ORCH_1_Frestart': 0.36, 'PSCS__TAU': 330, 'HUM_1_VEL': 76.0, 'HUM_2_VEL': 75.0, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 2.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 801.43, 'HUM_1_POS_Y': 728.17, 'HUM_2_POS_X': 364.2, 'HUM_2_POS_Y': 741.87, 'ROB_1_VEL': 35.0, 'ROB_1_CHG': 11.71597905, 'SCS': 0, 'FTG': 0.0}"
936,False,,"{'PRGS': 0, 'ORCH_1_Dstop': 6.67, 'ORCH_1_Drestart': 2.59, 'ORCH_1_Fstop': 0.76, 'ORCH_1_Frestart': 0.18, 'PSCS__TAU': 289, 'HUM_1_VEL': 58.0, 'HUM_2_VEL': 76.0, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 2.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 1913.61, 'HUM_1_POS_Y': 326.97, 'HUM_2_POS_X': 825.52, 'HUM_2_POS_Y': 691.49, 'ROB_1_VEL': 69.0, 'ROB_1_CHG': 11.40120864, 'SCS': 0, 'FTG': 0.0}"
937,False,,"{'PRGS': 3, 'ORCH_1_Dstop': 7.27, 'ORCH_1_Drestart': 3.92, 'ORCH_1_Fstop': 0.51, 'ORCH_1_Frestart': 0.36, 'PSCS__TAU': 335, 'HUM_1_VEL': 45.0, 'HUM_2_VEL': 93.0, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 0.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 487.53, 'HUM_1_POS_Y': 171.67, 'HUM_2_POS_X': 2889.94, 'HUM_2_POS_Y': 193.49, 'ROB_1_VEL': 52.0, 'ROB_1_CHG': 12.30781347, 'SCS': 1, 'FTG': 0.0}"
938,False,,"{'PRGS': 0, 'ORCH_1_Dstop': 5.43, 'ORCH_1_Drestart': 2.85, 'ORCH_1_Fstop': 0.5, 'ORCH_1_Frestart': 0.33, 'PSCS__TAU': 169, 'HUM_1_VEL': 18.0, 'HUM_2_VEL': 75.0, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 148.0, 'HUM_1_POS_Y': 743.6, 'HUM_2_POS_X': 1777.71, 'HUM_2_POS_Y': 414.59, 'ROB_1_VEL': 46.0, 'ROB_1_CHG': 11.45511668, 'SCS': 0, 'FTG': 0.0}"
939,False,,"{'PRGS': 0, 'ORCH_1_Dstop': 5.05, 'ORCH_1_Drestart': 3.72, 'ORCH_1_Fstop': 0.58, 'ORCH_1_Frestart': 0.31, 'PSCS__TAU': 107, 'HUM_1_VEL': 83.0, 'HUM_2_VEL': 85.0, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 359.71, 'HUM_1_POS_Y': 164.64, 'HUM_2_POS_X': 2434.94, 'HUM_2_POS_Y': 304.36, 'ROB_1_VEL': 60.0, 'ROB_1_CHG': 12.23419655, 'SCS': 0, 'FTG': 0.0}"
940,False,,"{'PRGS': 4, 'ORCH_1_Dstop': 7.01, 'ORCH_1_Drestart': 2.83, 'ORCH_1_Fstop': 0.62, 'ORCH_1_Frestart': 0.11, 'PSCS__TAU': 1, 'HUM_1_VEL': 22.0, 'HUM_2_VEL': 52.0, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 0.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 1491.47, 'HUM_1_POS_Y': 163.31, 'HUM_2_POS_X': 2936.78, 'HUM_2_POS_Y': 196.3, 'ROB_1_VEL': 70.0, 'ROB_1_CHG': 11.46146728, 'SCS': 0, 'FTG': 0.0}"
