id,ORCH_1_Dstop(%),ORCH_1_Drestart(%),ORCH_1_Fstop(%),ORCH_1_Frestart(%),PSCS__TAU(%),HUM_1_VEL(%),HUM_2_VEL(%),HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X(%),HUM_1_POS_Y(%),HUM_2_POS_X(%),HUM_2_POS_Y(%),ROB_1_VEL(%),ROB_1_CHG(%)
0,0.3792571023192931,0.22289877030012076,0.015796771029147706,0.4576755099559168,0.0,0.10523379544258782,0.3838892581232963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3405622162178243,0.0
1,0.38247080841821735,0.06886712348706396,0.14554901802754353,0.5788230269989726,0.0022222222222222222,0.19854340245918048,0.4391901780047111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028291362407887276,3.288461538494182e-05
2,0.8673894637387836,0.15120357758036995,0.12187854714606444,0.7197862237869729,0.0,0.47204963072948547,0.31384425332673344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33430137161995555,0.0
3,0.1267876884475651,0.20849503291220445,0.276002798260058,0.09816419238997212,0.0,0.2853736431433993,0.6092063858878054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017766489992869033,0.0
4,0.3293358463719926,0.4633945474215645,0.23577112708476433,0.06623417468985666,0.0,0.30355067870802294,0.013324804958302293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03725730058488799,0.0
5,0.8723192775198214,0.619566170385587,0.3716417583657523,0.7247953161405282,0.0,0.7709529884281261,0.3244512074231752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18281755001436223,0.0
6,0.35350446225867105,0.33183016897923245,0.10751896572173272,0.5380205715924473,0.0022222222222222222,0.44163080348392286,0.40370140010336275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11313895533002401,3.288461538494182e-05
7,0.18296585916471458,0.9576230456669436,0.3957042759908165,0.8076064842753893,0.0022222222222222222,0.33996597716089505,0.2504826008118526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3459561169207029,2.818461538549416e-05
9,0.2535861460909878,0.4419183908771364,0.06690492086073233,0.21367211533960564,0.0022222222222222222,0.039495795605220554,0.4407377997361426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1959025660682873,2.1146153845399748e-05
10,0.8206485126272955,0.5629085745844119,0.7493220426158685,0.33459833833869695,0.0022222222222222222,0.5140213886904805,0.8593386033458952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6480374632423075,3.0538461538699164e-05
11,0.824813714050352,0.1284474740659533,0.374736387410303,0.7819514125360593,0.0022222222222222222,0.29560565847643583,0.2829342493001712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40561632052052576,2.8192307692456502e-05
12,0.8374393786870641,0.5862397303355475,0.8849593412196238,0.5063776245477706,0.0022222222222222222,0.8666121618176993,0.4626805166401336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004736354345863398,2.3492307693008836e-05
13,0.8042629760499814,0.7065255136018358,0.2029211314722412,0.2331902421800702,0.0,0.3766544664708635,0.24150510694304067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8115657808397956,0.0
14,0.37036377508399915,0.21982502267957962,0.717327409581719,0.5173560274937049,0.0,0.18155342879541325,0.19112147320630685,2.0,0.0,1.0,0.0,1.0,2.0,0.010511363636363636,0.021083333333333343,0.004050000000000037,0.026033333333333342,0.04135220869766495,0.40902731538461434
15,0.9148069623962105,0.500766839916522,0.20517995289704213,0.3125368966080623,0.0,0.15897196094980462,0.14599693751719148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5880587292602842,0.0
16,0.6598452310943269,0.49809341796877754,0.36627751006781795,0.7574253892525795,0.0,0.5625759661675767,0.44790724381479946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07532118619809154,0.0
17,0.0007167731452771165,0.00583282505653866,0.0024481492858123097,0.1617680155051166,0.0022222222222222222,0.05541255578035751,0.034541665335886054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008440274710769457,3.758461538438949e-05
18,0.3499082131317838,0.2374442132649314,0.18767698566715746,0.48264262055607504,0.0,0.05253350510189847,0.03446705098049522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6109694472972897,0.0
19,0.43974305075313536,0.3073765722932684,0.32294169229968117,0.057952929674855054,0.0022222222222222222,0.666531210262388,0.34321195052609893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6897337358235832,2.1138461538437405e-05
20,0.06797847737646308,0.031285678565663846,0.01480440793422762,0.47912391706806956,0.0,0.4992049486239332,0.015358456291905753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42238787398224714,0.0
21,0.2535861460909878,0.4419183908771364,0.06690492086073233,0.21367211533960564,0.0022222222222222222,0.039495795605220554,0.4407377997361426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1959025660682873,2.1146153845399748e-05
22,0.6591465512563776,0.12472369900520537,0.10970634013168074,0.3449220526163369,0.0,0.011741610833904912,0.296857496626166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023452227818344187,0.0
23,0.21500888797398937,0.674123207363049,0.24702413717584595,0.9614307601522032,0.0022222222222222222,0.3115308437210555,0.33691960042531754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0989191891608566,1.643846153898974e-05
24,0.3416749098741967,0.17972658573672257,0.39820394118270647,0.45175268575481015,0.0022222222222222222,0.5834797002616735,0.3169189601376299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3707071512231907,2.1146153846766175e-05
25,0.02355475567123122,0.02653285301860251,0.19779051515147617,0.49957278134194855,0.0,0.02986476899774045,0.4377691196408729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23380292809737224,0.0
26,0.09062348474631073,0.3192663056247719,0.3445264732584544,0.07473243065707198,0.0,0.005321264469943949,0.0031577766693987185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4721992148656279,0.0
27,0.765352710627057,0.3096569883950176,0.673788961562344,0.7776719669173776,0.0,0.23639865402129812,0.2550085998205266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6654231978290034,0.0
28,0.5681730617502658,0.10125900075070877,0.2102451818665555,0.015298589369770278,0.0,0.0837008466222526,0.05141594697419397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15821985272188296,0.0
29,0.8408258446651484,0.013626475039002805,0.10932834093200522,0.4133741159248148,0.0,0.037496649752568854,0.6055103943912149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35553249049484875,0.0
30,0.7274595868651552,0.017334613300515223,0.7223653475813558,0.17598026933144123,0.0,0.38147168799164044,0.06537010867319058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6598037512512115,0.0
31,0.7228348525005096,0.8579438720371666,0.9582322174739202,0.2233572882777736,0.0,0.22383822094399397,0.6950357964023958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.640894918431948,1.5384615291115822e-08
32,0.12037218713532809,0.23324613389997192,0.2936625971427886,0.8255095566301756,0.0,0.9666706432042192,0.2904202176011507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34524739383659026,0.0
33,0.34740608327855255,0.05559166068082959,0.028388666682367017,0.05130153600983668,0.0,0.23878400569882102,0.46384815162080556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16405071246236114,0.0
34,0.37287339949468856,0.4950389044541083,0.40472970262045727,0.9541231554296253,0.0,0.09357975990198994,0.44832100643055206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2589816162840623,0.0
35,0.24137216121336244,0.1413505825681165,0.4493266440071511,0.020956474328222743,0.0022222222222222222,0.07618756550728156,0.05470884362158139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11411755679143312,3.2884615383575395e-05
36,0.33233399152553816,0.3994859877325041,0.04514033861691505,0.06492314815201479,0.0,0.11853298132363506,0.08502751823735975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1613829053782985,0.0
