Configuration_ID,Has_Match,mc_config,opt_config
0,True,"{'PRGS': 5.0, 'ORCH_1_Dstop': 5.97, 'ORCH_1_Drestart': 3.44, 'ORCH_1_Fstop': 0.76, 'ORCH_1_Frestart': 0.14, 'PSCS__TAU': 462.0, 'HUM_1_VEL': 74.0, 'HUM_2_VEL': 63.0, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 2594.32, 'HUM_1_POS_Y': 190.47, 'HUM_2_POS_X': 2839.13, 'HUM_2_POS_Y': 209.03, 'ROB_1_VEL': 79.0, 'ROB_1_CHG': 11.94019989, 'SCS': 1.0, 'FTG': 0.0}","{'PRGS': 5.0, 'ORCH_1_Dstop': 5.021857244201767, 'ORCH_1_Drestart': 3.997246925750302, 'ORCH_1_Fstop': 0.7647390313087443, 'ORCH_1_Frestart': 0.2773026529867751, 'PSCS__TAU': 462.0, 'HUM_1_VEL': 66.63363431901885, 'HUM_2_VEL': 89.87224806863074, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 2594.32, 'HUM_1_POS_Y': 190.47, 'HUM_2_POS_X': 2839.13, 'HUM_2_POS_Y': 209.03, 'ROB_1_VEL': 55.1606448647523, 'ROB_1_CHG': 11.94019989, 'SCS': 0.9813983125, 'FTG': 0.01089725}"
1,True,"{'PRGS': 0.0, 'ORCH_1_Dstop': 6.415831946, 'ORCH_1_Drestart': 3.699055831, 'ORCH_1_Fstop': 0.5267928802, 'ORCH_1_Frestart': 0.3787046167, 'PSCS__TAU': 584.0, 'HUM_1_VEL': 83.09573536, 'HUM_2_VEL': 32.91093708, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 110.69, 'HUM_1_POS_Y': 488.87, 'HUM_2_POS_X': 519.32, 'HUM_2_POS_Y': 262.95, 'ROB_1_VEL': 83.57813217, 'ROB_1_CHG': 11.10896279, 'SCS': 0.0, 'FTG': 0.0}","{'PRGS': 0.0, 'ORCH_1_Dstop': 7.372008967045543, 'ORCH_1_Drestart': 3.52688802228234, 'ORCH_1_Fstop': 0.5704575856082631, 'ORCH_1_Frestart': 0.2050577086003082, 'PSCS__TAU': 583.0, 'HUM_1_VEL': 96.99377353214264, 'HUM_2_VEL': 63.65424954032977, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 110.69, 'HUM_1_POS_Y': 488.87, 'HUM_2_POS_X': 519.32, 'HUM_2_POS_Y': 262.95, 'ROB_1_VEL': 81.5977368014479, 'ROB_1_CHG': 11.10892004, 'SCS': 0.5115576915833329, 'FTG': 0.00817425}"
2,True,"{'PRGS': 0.0, 'ORCH_1_Dstop': 7.17, 'ORCH_1_Drestart': 3.62, 'ORCH_1_Fstop': 0.71, 'ORCH_1_Frestart': 0.16, 'PSCS__TAU': 110.0, 'HUM_1_VEL': 69.0, 'HUM_2_VEL': 60.0, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 345.53, 'HUM_1_POS_Y': 169.44, 'HUM_2_POS_X': 1596.1, 'HUM_2_POS_Y': 315.44, 'ROB_1_VEL': 33.0, 'ROB_1_CHG': 12.1588767, 'SCS': 0.0, 'FTG': 0.0}","{'PRGS': 0.0, 'ORCH_1_Dstop': 5.001526340653041, 'ORCH_1_Drestart': 3.998008943950925, 'ORCH_1_Fstop': 0.7465635641438193, 'ORCH_1_Frestart': 0.3759358671360919, 'PSCS__TAU': 110.0, 'HUM_1_VEL': 35.95652584893602, 'HUM_2_VEL': 38.03090226712866, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 345.53, 'HUM_1_POS_Y': 169.44, 'HUM_2_POS_X': 1596.1, 'HUM_2_POS_Y': 315.44, 'ROB_1_VEL': 56.40109601339689, 'ROB_1_CHG': 12.1588767, 'SCS': 0.5248162539999994, 'FTG': 0.0058217499999999}"
3,True,"{'PRGS': 0.0, 'ORCH_1_Dstop': 7.01, 'ORCH_1_Drestart': 4.45, 'ORCH_1_Fstop': 0.66, 'ORCH_1_Frestart': 0.36, 'PSCS__TAU': 165.0, 'HUM_1_VEL': 76.0, 'HUM_2_VEL': 75.0, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 2.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 801.43, 'HUM_1_POS_Y': 728.17, 'HUM_2_POS_X': 364.2, 'HUM_2_POS_Y': 741.87, 'ROB_1_VEL': 35.0, 'ROB_1_CHG': 11.66748416, 'SCS': 0.0, 'FTG': 0.0}","{'PRGS': 0.0, 'ORCH_1_Dstop': 7.326969221118913, 'ORCH_1_Drestart': 3.928762417719489, 'ORCH_1_Fstop': 0.5771991605219826, 'ORCH_1_Frestart': 0.3894492577169916, 'PSCS__TAU': 165.0, 'HUM_1_VEL': 56.02384497996205, 'HUM_2_VEL': 32.35555298785362, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 2.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 801.43, 'HUM_1_POS_Y': 728.17, 'HUM_2_POS_X': 364.2, 'HUM_2_POS_Y': 741.87, 'ROB_1_VEL': 36.24365429950083, 'ROB_1_CHG': 11.66748416, 'SCS': 0.3487977346899996, 'FTG': 0.0004105}"
4,True,"{'PRGS': 5.0, 'ORCH_1_Dstop': 6.87, 'ORCH_1_Drestart': 3.35, 'ORCH_1_Fstop': 0.59, 'ORCH_1_Frestart': 0.3, 'PSCS__TAU': 170.0, 'HUM_1_VEL': 59.0, 'HUM_2_VEL': 59.0, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 2700.97, 'HUM_1_POS_Y': 187.68, 'HUM_2_POS_X': 2876.2, 'HUM_2_POS_Y': 198.24, 'ROB_1_VEL': 76.0, 'ROB_1_CHG': 12.19910432, 'SCS': 1.0, 'FTG': 0.0}","{'PRGS': 5.0, 'ORCH_1_Dstop': 6.046660384070019, 'ORCH_1_Drestart': 2.191513631446089, 'ORCH_1_Fstop': 0.6607313381254293, 'ORCH_1_Frestart': 0.319870252406957, 'PSCS__TAU': 170.0, 'HUM_1_VEL': 80.2485475095616, 'HUM_2_VEL': 58.06726365291884, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 2700.97, 'HUM_1_POS_Y': 187.68, 'HUM_2_POS_X': 2876.2, 'HUM_2_POS_Y': 198.24, 'ROB_1_VEL': 78.60801104094216, 'ROB_1_CHG': 12.19910432, 'SCS': 1.0, 'FTG': 0.0}"
5,True,"{'PRGS': 0.0, 'ORCH_1_Dstop': 7.41, 'ORCH_1_Drestart': 3.84, 'ORCH_1_Fstop': 0.78, 'ORCH_1_Frestart': 0.14, 'PSCS__TAU': 518.0, 'HUM_1_VEL': 86.0, 'HUM_2_VEL': 72.0, 'HUM_1_FW': 1.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 3669.82, 'HUM_1_POS_Y': 251.12, 'HUM_2_POS_X': 3541.71, 'HUM_2_POS_Y': 676.44, 'ROB_1_VEL': 42.0, 'ROB_1_CHG': 11.68937762, 'SCS': 0.0, 'FTG': 0.0}","{'PRGS': 0.0, 'ORCH_1_Dstop': 5.229201806200447, 'ORCH_1_Drestart': 2.291084574036032, 'ORCH_1_Fstop': 0.6685074724902743, 'ORCH_1_Frestart': 0.3574385948421585, 'PSCS__TAU': 518.0, 'HUM_1_VEL': 32.033290810031176, 'HUM_2_VEL': 49.288415480377736, 'HUM_1_FW': 1.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 3669.82, 'HUM_1_POS_Y': 251.12, 'HUM_2_POS_X': 3541.71, 'HUM_2_POS_Y': 676.44, 'ROB_1_VEL': 54.79722850100536, 'ROB_1_CHG': 11.68937762, 'SCS': 0.7202524389166666, 'FTG': 0.0219736999999999}"
6,True,"{'PRGS': 0.0, 'ORCH_1_Dstop': 5.89, 'ORCH_1_Drestart': 3.2, 'ORCH_1_Fstop': 0.5, 'ORCH_1_Frestart': 0.18, 'PSCS__TAU': 599.0, 'HUM_1_VEL': 65.0, 'HUM_2_VEL': 68.0, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 3059.04, 'HUM_1_POS_Y': 338.15, 'HUM_2_POS_X': 2547.95, 'HUM_2_POS_Y': 572.69, 'ROB_1_VEL': 70.0, 'ROB_1_CHG': 11.17753847, 'SCS': 0.0, 'FTG': 0.0}","{'PRGS': 0.0, 'ORCH_1_Dstop': 5.006238844353322, 'ORCH_1_Drestart': 4.029575422448081, 'ORCH_1_Fstop': 0.5322556897165198, 'ORCH_1_Frestart': 0.3414061714777342, 'PSCS__TAU': 600.0, 'HUM_1_VEL': 34.0858437561254, 'HUM_2_VEL': 39.740901992764606, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 3059.04, 'HUM_1_POS_Y': 338.15, 'HUM_2_POS_X': 2547.95, 'HUM_2_POS_Y': 572.69, 'ROB_1_VEL': 77.91972687310168, 'ROB_1_CHG': 11.17758122, 'SCS': 0.7195094391666668, 'FTG': 0.0068316666666666}"
7,True,"{'PRGS': 0.0, 'ORCH_1_Dstop': 7.006962322, 'ORCH_1_Drestart': 4.448633209, 'ORCH_1_Fstop': 0.6618493277, 'ORCH_1_Frestart': 0.3565808487, 'PSCS__TAU': 496.0, 'HUM_1_VEL': 76.1208014, 'HUM_2_VEL': 75.17410024, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 2.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 801.43, 'HUM_1_POS_Y': 728.17, 'HUM_2_POS_X': 364.2, 'HUM_2_POS_Y': 741.87, 'ROB_1_VEL': 35.49806476, 'ROB_1_CHG': 11.76605746, 'SCS': 0.0, 'FTG': 0.0}","{'PRGS': 0.0, 'ORCH_1_Dstop': 6.549547674088213, 'ORCH_1_Drestart': 2.0545755948326407, 'ORCH_1_Fstop': 0.5431380449027551, 'ORCH_1_Frestart': 0.1142989034173832, 'PSCS__TAU': 495.0, 'HUM_1_VEL': 99.91841980126266, 'HUM_2_VEL': 92.70788229682968, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 2.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 801.43, 'HUM_1_POS_Y': 728.17, 'HUM_2_POS_X': 364.2, 'HUM_2_POS_Y': 741.87, 'ROB_1_VEL': 59.7149929444492, 'ROB_1_CHG': 11.76602082, 'SCS': 0.4088783617606663, 'FTG': 0.0557851999999999}"
8,False,,"{'PRGS': 1.0, 'ORCH_1_Dstop': 6.405775737723811, 'ORCH_1_Drestart': 3.9014993073674247, 'ORCH_1_Fstop': 0.5346036676909667, 'ORCH_1_Frestart': 0.3799075411818789, 'PSCS__TAU': 1.0, 'HUM_1_VEL': 62.352995237638766, 'HUM_2_VEL': 37.468845623268834, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 110.69, 'HUM_1_POS_Y': 488.87, 'HUM_2_POS_X': 519.32, 'HUM_2_POS_Y': 262.95, 'ROB_1_VEL': 46.71585975095002, 'ROB_1_CHG': 11.2621159, 'SCS': 0.3463358629999997, 'FTG': 0.136332}"
9,True,"{'PRGS': 0.0, 'ORCH_1_Dstop': 5.904024782, 'ORCH_1_Drestart': 3.14790308, 'ORCH_1_Fstop': 0.6546399453, 'ORCH_1_Frestart': 0.2265863975, 'PSCS__TAU': 406.0, 'HUM_1_VEL': 96.45239348, 'HUM_2_VEL': 30.54255506, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 4435.4, 'HUM_1_POS_Y': 584.89, 'HUM_2_POS_X': 110.12, 'HUM_2_POS_Y': 754.44, 'ROB_1_VEL': 95.38520697, 'ROB_1_CHG': 12.36326458, 'SCS': 0.0, 'FTG': 0.0}","{'PRGS': 0.0, 'ORCH_1_Dstop': 6.537990147227469, 'ORCH_1_Drestart': 2.043107102807159, 'ORCH_1_Fstop': 0.6345684690417803, 'ORCH_1_Frestart': 0.2906880321018817, 'PSCS__TAU': 405.0, 'HUM_1_VEL': 99.21709917236544, 'HUM_2_VEL': 61.39420104152998, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 4435.4, 'HUM_1_POS_Y': 584.89, 'HUM_2_POS_X': 110.12, 'HUM_2_POS_Y': 754.44, 'ROB_1_VEL': 81.67202734521989, 'ROB_1_CHG': 12.36323709, 'SCS': 0.3731942200699997, 'FTG': 0.0795269916666666}"
