ORCH_1_Dstop(%),ORCH_1_Drestart(%),ORCH_1_Fstop(%),ORCH_1_Frestart(%),PSCS__TAU(%),HUM_1_VEL(%),HUM_2_VEL(%),HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X(%),HUM_1_POS_Y(%),HUM_2_POS_X(%),HUM_2_POS_Y(%),ROB_1_VEL(%),ROB_1_CHG(%)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4056817336946782,0.3007185940872928,0.015114856310500059,0.11371948473168393,0.0,0.0994520146417029,0.46847993831427776,0.0,0.0,0.0,0.0,0.0,0.0,0.027165909090909032,0.005666666666666676,0.01644090909090902,0.022383333333333345,0.18141654813702915,2.2407692307469816e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.027139618497579933,0.049860508767586784,0.06585559085501143,0.09685581431568029,0.24666666666666667,0.590254003457545,0.0007010459332108659,0.0,0.0,0.0,0.0,0.0,0.0,0.05253181818181815,0.0048833333333333446,0.0,0.0,0.08436212554107994,0.0247870692307691
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04608372811156336,0.022932752356800278,0.04857629699199968,0.3218070780182762,0.0,0.07232762571148246,0.20531680592523735,0.0,0.0,0.0,0.0,0.0,0.0,0.013497727272727347,0.0023499999999999945,0.0027727272727273346,0.00026666666666670837,0.033186795453071384,9.976923077094673e-06
0.14190887914135644,0.476764222028989,0.3742018749092819,0.020680549798348654,0.29777777777777775,0.048269524635254565,0.23496565253249102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31119937231882266,0.0300956230769231
0.034186717143363056,0.03087539036908087,0.2094404118656734,0.06193561418639932,0.20222222222222222,0.027422116493023906,0.011575251201280322,0.0,0.0,0.0,0.0,0.0,0.0,0.0061886363636363675,0.0014500000000000075,0.004338636363636294,0.00013333333333335418,0.2325165918003553,0.02076672307692406
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.051473647072447906,0.547795985368613,0.03191529525859881,0.01258643976119078,0.0,0.052377740731236196,0.0031534688190656573,0.0,0.0,0.0,0.0,0.0,0.0,0.01835,0.005599999999999976,0.0,0.0,0.019546826328953312,8.153846158948519e-07
0.0,0.0,0.0,0.0,0.24666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02478633846153799
0.04537134636940863,0.0016060629632891122,0.12251311482156856,0.2123321711425835,0.0,0.0956456507575861,0.012489777921385326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007388636363636413,0.0014000000000000056,0.15828361163983656,1.1153846154380388e-05
0.21055761656691024,0.048990031484355254,0.08071622770057277,0.05792301307970093,0.0,0.00017080006296187175,0.0058280853654338214,0.0,0.0,0.0,0.0,0.0,0.0,0.0009022727272727334,0.002716666666666659,0.018865909090909037,0.0002166666666666591,0.118745278070665,4.138461537905866e-06
0.14190887914135644,0.476764222028989,0.3742018749092819,0.020680549798348654,0.29777777777777775,0.048269524635254565,0.23496565253249102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31119937231882266,0.030101900000000136
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0022222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2892307691904165e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
