,PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,SCS,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG
63,1,6.12,4.05,0.67,0.23,311,47.0,47.0,,0,1,,1,2,0.0,693.8,191.03,3411.67,750.93,51.0,11.17900699
64,0,6.25,4.12,0.56,0.18,465,94.0,41.0,,0,0,,0,0,0.0,1803.78,378.72,2999.74,645.48,55.0,12.20063445
65,0,5.943471505,4.093672556,0.5509605533,0.3385083947,617,95.18748724,73.18213043,,0,1,,0,2,0.5,1225.98,208.77,1403.17,341.99,44.61729112,11.44536108
66,0,7.23,4.03,0.67,0.2,169,49.0,30.0,,0,0,,0,2,0.0,3009.75,615.6,947.86,795.78,85.0,11.53522143
67,0,6.29,2.76,0.79,0.16,506,65.0,57.0,,1,1,,0,1,0.0,3013.23,370.06,4338.47,298.47,31.0,11.57682179
68,0,6.34,3.61,0.73,0.27,380,95.0,38.0,,0,1,,0,0,0.0,2184.49,263.17,70.15,332.47,30.0,11.47632012
69,5,7.05,2.13,0.64,0.29,156,98.0,67.0,,0,1,,0,1,0.5,2824.23,195.53,2895.54,198.91,82.0,11.55780657
70,3,6.42,2.66,0.55,0.21,115,20.0,48.0,,1,1,,1,0,0.0,400.0,200.0,2882.69,209.97,92.0,11.12850168
71,0,6.25,4.12,0.56,0.18,465,94.0,41.0,,0,0,,0,0,0.0,1803.78,378.72,2999.74,645.48,55.0,12.20063445
72,1,6.66,3.14,0.69,0.31,269,36.0,93.0,,1,0,,1,2,0.0,761.49,187.5,1500.49,362.55,49.0,11.26011115
73,0,5.41,3.39,0.67,0.11,274,32.0,30.0,,1,1,,1,0,0.0,1549.93,226.38,3014.82,769.25,60.0,11.26935267
74,0,7.23,4.3,0.66,0.24,503,61.0,46.0,,1,0,,0,1,0.5,128.43,521.68,158.09,205.08,98.0,12.08801127
75,0,6.02,3.84,0.54,0.18,545,32.0,59.0,,0,0,,1,1,0.0,1810.22,215.79,77.26,630.9,56.0,11.57265976
76,0,6.29,2.76,0.79,0.16,506,65.0,57.0,,1,1,,0,1,0.0,3013.23,370.06,4338.47,298.47,31.0,11.57682179
77,0,7.053636617,2.123266627,0.7448616758,0.328997449,559,75.80858291,35.35162647,,0,0,,1,0,0.0,3138.2,228.91,1217.09,746.95,32.39636419,12.25223439
78,0,5.65,3.24,0.71,0.27,100,86.0,80.0,,0,1,,0,0,0.0,327.0,161.77,4200.11,792.34,85.0,11.63123172
79,4,5.26,3.23,0.66,0.38,138,57.0,95.0,,1,0,,1,1,0.5,1173.0,171.24,2851.42,193.68,50.0,12.24009332
80,0,6.02,3.84,0.54,0.18,545,32.0,59.0,,0,0,,1,1,0.0,1810.22,215.79,77.26,630.9,56.0,11.57265976
81,0,6.67,2.9,0.73,0.14,404,54.0,43.0,,1,2,,0,1,0.0,179.28,621.78,2626.14,228.42,39.0,11.09931291
82,0,7.124630416,3.590414331,0.5298584072,0.1106305172,432,38.4260476,79.24174091,,0,2,,0,1,0.0,3754.34,789.02,176.55,363.53,76.30666854,11.15692158
83,0,6.38,3.71,0.51,0.3,309,99.0,36.0,,1,0,,0,0,0.0,4347.14,534.45,352.97,220.62,72.0,12.0021403
84,5,5.17,4.01,0.52,0.36,162,34.0,21.0,,0,1,,0,2,0.5,2957.69,197.54,2909.61,200.41,40.0,12.02626005
85,2,5.41,3.39,0.67,0.11,92,32.0,30.0,,1,1,,1,0,0.0,830.12,209.87,2474.14,199.64,60.0,11.21449771
86,3,5.77,3.9,0.74,0.33,353,35.0,51.0,,0,1,,1,1,0.5,716.1,190.96,2910.19,194.33,38.0,11.46637082
