PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS
5.0,5.03,2.14,0.74,0.25,214.0,43.0,56.0,2.0,1.0,1.0,0.0,1.0,0.0,2830.16,196.56,2851.44,198.07,66.0,11.80999021,0.17728200550000006
0.0,7.12,3.68,0.6,0.23,578.0,37.0,85.0,0.0,0.0,0.0,0.0,0.0,2.0,2974.93,410.44,3634.84,277.1,61.0,12.36176512,0.30936780159523813
0.0,7.05,2.12,0.74,0.33,186.0,75.0,35.0,2.0,0.0,0.0,2.0,1.0,0.0,3138.2,228.91,1217.09,746.95,32.0,12.14182164,0.13766187991666679
0.0,5.59,4.24,0.51,0.32,224.0,75.0,87.0,0.0,0.0,2.0,0.0,1.0,1.0,339.56,166.71,1597.98,306.47,53.0,11.36650142,0.05835688499999996
4.0,5.41,3.39,0.67,0.11,1.0,32.0,30.0,2.0,1.0,1.0,0.0,1.0,0.0,1409.69,186.85,2930.14,199.95,60.0,11.18747999,0.12120920800000015
5.0,5.03,2.14,0.74,0.25,214.0,43.0,56.0,2.0,1.0,1.0,0.0,1.0,0.0,2916.38,194.9,2874.44,198.37,66.0,11.80994169,0.17728200550000006
0.0,5.405137316,3.389178644,0.6666167546,0.1136480529,275.0,32.6097776,30.43044934,2.0,1.0,1.0,0.0,1.0,0.0,1549.93,226.38,3014.82,769.25,60.33883814,11.26937099,0.16666065383333348
0.0,6.0,2.49,0.69,0.29,588.0,39.0,36.0,0.0,0.0,1.0,0.0,0.0,2.0,3689.38,746.45,1523.76,782.97,66.0,11.21015176,0.1915875795
5.0,5.05,3.94,0.65,0.34,1.0,64.0,53.0,2.0,1.0,0.0,2.0,1.0,0.0,2876.22,194.31,2862.26,197.3,91.0,11.47224932,0.6374464029999998
3.0,7.41,3.84,0.78,0.14,345.0,86.0,43.0,1.0,1.0,0.0,2.0,0.0,1.0,467.72,168.68,2891.13,195.11,42.0,11.63692741,0.3427760677499997
0.0,7.01,2.83,0.62,0.11,219.0,37.0,52.0,2.0,0.0,0.0,0.0,1.0,1.0,2840.64,167.73,70.28,534.16,70.0,11.52576789,0.04907230000000001
1.0,7.07,3.85,0.61,0.32,279.0,32.0,55.0,1.0,0.0,2.0,0.0,0.0,1.0,352.49,184.13,1003.85,774.62,95.0,11.44581376,0.3898803909999997
0.0,7.42,2.81,0.72,0.16,463.0,78.0,76.0,1.0,0.0,2.0,2.0,1.0,2.0,314.92,157.45,2292.61,482.03,42.0,11.38093956,0.472295875333333
5.0,6.84,4.09,0.55,0.4,1.0,82.0,90.0,1.0,0.0,0.0,0.0,0.0,2.0,2645.07,182.59,2848.97,194.29,92.0,11.52430929,0.6067299999999995
0.0,6.34,3.61,0.73,0.27,253.0,95.0,38.0,0.0,0.0,1.0,2.0,0.0,0.0,2184.49,263.17,70.15,332.47,30.0,11.43779156,0.10353195466666673
0.0,6.82,3.14,0.74,0.26,360.0,82.0,36.0,2.0,0.0,0.0,2.0,0.0,0.0,4060.6,216.13,2338.88,323.46,72.0,11.58578257,0.16500831508333352
0.0,6.456166113,3.096478797,0.7018352972,0.3132484127,285.0,65.8660482,70.99263293,2.0,1.0,1.0,1.0,0.0,2.0,3766.18,776.64,707.5,747.35,83.9848851,11.42801708,0.04907230000000001
3.0,5.21,4.08,0.71,0.34,376.0,22.0,39.0,1.0,1.0,0.0,2.0,1.0,0.0,593.41,194.87,2983.08,199.98,93.0,11.6439177,0.6253109204999996
4.0,6.26,2.38,0.77,0.39,313.0,72.0,59.0,0.0,1.0,2.0,2.0,0.0,0.0,1550.08,170.61,2968.74,199.35,92.0,12.23122002,0.588563178833333
0.0,7.44,2.18,0.53,0.19,1.0,65.0,82.0,2.0,0.0,2.0,2.0,1.0,0.0,2250.17,407.14,2381.88,335.87,68.0,12.1969005,0.3139304614999997
0.0,6.02,3.84,0.54,0.18,181.0,32.0,59.0,1.0,0.0,0.0,1.0,1.0,1.0,347.86,173.84,77.26,630.9,56.0,11.464643,0.052302062555555556
0.0,5.45,3.84,0.55,0.15,695.0,51.0,55.0,1.0,0.0,1.0,0.0,0.0,1.0,2285.24,461.01,1972.2,631.59,38.0,11.25425353,0.11222773000000012
