PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS
0.0,5.029150933308462,2.054480272556158,0.7888594251773718,0.3805062956750246,242.0,53.102074768922336,33.25091199488959,1.0,1.0,2.0,1.0,0.0,0.0,246.95,120.77,4004.57,246.63,84.5204051862766,11.70956329,0.6255780011666664
4.0,5.070412957569498,2.895931384890804,0.6752297661156927,0.3788435018397517,138.0,75.72641435289653,36.64584586436623,2.0,1.0,0.0,0.0,1.0,1.0,1173.0,171.24,2851.42,193.68,74.4859358875132,12.24009332,0.1620715320000003
3.0,5.051581951578117,2.021569388803965,0.7788765541961026,0.3667044572690642,96.0,58.75504715008395,32.056063342701904,1.0,0.0,2.0,2.0,1.0,0.0,380.29,159.16,2864.51,194.29,33.0302851437259,11.4124975,0.17177007050000018
0.0,5.877349602635139,3.9929709076092887,0.5296649598275223,0.3833253930410296,1.0,59.435627745706725,67.50723516089718,0.0,0.0,0.0,0.0,0.0,2.0,3009.75,615.6,947.86,795.78,91.116397219673,11.48764236,0.39864132599999985
0.0,5.049119802754799,3.897415426251143,0.7523101898358869,0.3714322734023133,181.0,30.7698166637615,50.83307766994286,1.0,0.0,0.0,2.0,0.0,0.0,311.52,155.76,2436.27,221.71,56.448290851203296,12.17624068,0.21932573878571418
0.0,5.050338659307087,3.694651843641432,0.5333995151828725,0.3883014024577547,403.0,33.634744625464386,58.56349801221342,2.0,0.0,0.0,0.0,0.0,0.0,2016.6,417.93,1559.79,221.11,83.74629996561511,12.28209271,0.24445063058333336
0.0,5.024387492300766,4.034717722794294,0.531367570752453,0.395010424807793,395.0,63.50642158237124,76.61325771802201,0.0,1.0,0.0,2.0,1.0,1.0,3537.6,727.65,3282.57,257.79,82.42041097011584,11.5080543,0.10318361800000003
0.0,7.372603424760012,3.335236824774008,0.5103483457845518,0.3930805327077107,143.0,49.86285478237466,87.96973062523966,0.0,0.0,2.0,1.0,0.0,1.0,2247.97,177.36,176.55,363.53,71.45884519198277,11.11046584,0.2104708615714285
0.0,5.0292742063618485,4.00568699649084,0.755776387950086,0.3805361705176019,103.0,45.38948786006508,41.61327947841143,1.0,1.0,0.0,0.0,0.0,0.0,264.1,117.87,352.97,220.62,61.37483473086632,11.94005349,0.22569835899999988
0.0,5.231351032837112,2.163336533251288,0.5232903957255932,0.3827940807994324,186.0,48.29698184058517,39.57590760712334,2.0,0.0,0.0,2.0,1.0,0.0,3138.2,228.91,1217.09,746.95,78.1862625875848,12.14183008,0.19481898891666674
0.0,5.007204107850308,3.954029321657517,0.5379603841247004,0.3801770245134678,263.0,58.45568116650937,68.79775196335572,0.0,1.0,0.0,2.0,1.0,1.0,1767.56,164.54,3282.57,257.79,90.20980270788895,11.46769654,0.5556472984999996
4.0,6.840738444499314,3.789919565886296,0.7107983409237504,0.3920579043815834,313.0,55.7680386152768,30.229750509849104,0.0,1.0,2.0,2.0,0.0,0.0,1464.06,168.08,2909.87,195.39,30.77007052449208,12.23122198,0.16472374175000012
0.0,5.028260889039173,3.994649698334465,0.5725151726326743,0.3811325725419377,169.0,54.74045995395607,32.54391317713988,0.0,0.0,0.0,2.0,0.0,2.0,148.0,743.6,1777.71,414.59,91.30310149561562,11.45511668,0.37854974666666663
0.0,6.601566613033406,2.140073767579709,0.5538764425978546,0.2823565317015332,588.0,44.78842911550971,39.8882468435107,0.0,0.0,1.0,0.0,0.0,2.0,3689.38,746.45,1523.76,782.97,74.76793569540031,11.21015176,0.19474648849999998
5.0,6.450432654375665,2.393147501876772,0.6769264454400333,0.2545895768109311,214.0,37.14094073644232,59.59911628819358,2.0,1.0,1.0,0.0,1.0,0.0,2787.17,195.69,2861.44,198.2,77.07538969053181,11.80996573,0.11356402150000017
1.0,5.011860009227597,3.981420848339632,0.5394373591032363,0.3746407356879155,183.0,90.99007182973752,52.99342654784713,2.0,1.0,1.0,0.0,1.0,0.0,817.12,209.57,2641.97,178.4,75.72996673913703,11.24178579,0.12328877750000006
