PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS,FTG
0.0,6.329027639834615,2.2591808320952205,0.7729908017208589,0.24121606974200652,274.0,97.53650266096145,61.94795162810402,2.0,1.0,1.0,0.0,1.0,0.0,1549.93,226.38,3014.82,769.25,67.6239046820676,11.26935267,0.2306933333333334,0.03208286666666667
0.0,5.004062840991937,4.03672492997263,0.7793370095460987,0.3537780791106408,1.0,96.98760467329278,35.212628436221934,1.0,1.0,2.0,1.0,1.0,0.0,318.71,157.47,3108.03,421.63,95.6831682865685,11.75629253,0.7729942857142857,0.20408800000000007
0.0,5.142213215232846,4.250051265270646,0.5074347039084032,0.37635119295668457,395.0,55.8794638749452,31.39053111430735,0.0,1.0,0.0,2.0,1.0,1.0,3537.6,727.65,3282.57,257.79,82.34118495078803,11.5080543,0.5066440476190478,0.014790891666666655
0.0,7.146449033596061,2.910167987919516,0.5214344928803395,0.36650710095718697,419.0,83.3924248886164,43.01081731687688,2.0,1.0,1.0,0.0,0.0,1.0,2775.41,236.2,2190.72,647.18,81.85920243878579,11.16707625,0.78609,0.023707983333333335
0.0,7.268433925018412,3.6005195183110854,0.748581990314572,0.1368960200276503,159.0,50.03121262859124,41.33593844856311,1.0,1.0,0.0,0.0,1.0,2.0,329.45,163.8,4048.1,687.35,95.9272839596788,11.20476706,0.5495488095238096,0.003460000000000001
1.0,7.19971488034989,4.04561028145317,0.5262843049819355,0.39733707830545556,270.0,87.76964502443657,41.4898365074186,2.0,0.0,1.0,2.0,1.0,2.0,519.91,196.0,1142.11,759.64,92.67058536136437,12.32228789,0.8514780952380953,0.38915850000000013
0.0,7.456461816910841,4.323926632105475,0.5068360292625931,0.3952152149611171,323.0,98.67076989815214,30.348090764652312,0.0,0.0,0.0,1.0,1.0,1.0,2233.51,464.92,2434.94,304.36,92.6261191115638,12.29929284,0.6255011904761906,0.026300265476190493
0.0,7.3388710773011825,2.36555465932837,0.7540928903564729,0.3701598779442425,431.0,49.194706849146016,35.02255828911476,0.0,0.0,2.0,1.0,0.0,1.0,3754.34,789.02,176.55,363.53,99.7004090590783,11.15689104,0.42971571428571415,0.28808487499999985
1.0,6.798714619732779,2.5105004068979557,0.517782809994672,0.36260936819692985,1.0,73.72918692432688,35.096308220040356,2.0,1.0,1.0,2.0,1.0,0.0,110.69,488.87,519.32,262.95,72.41852269508146,11.26210042,0.3597664285714287,0.13011700000000004
0.0,7.456461816910841,4.323926632105475,0.5068360292625931,0.3952152149611171,324.0,98.67076989815214,30.348090764652312,0.0,0.0,0.0,1.0,1.0,1.0,2233.51,464.92,2434.94,304.36,92.6261191115638,12.29931422,0.6255011904761906,0.026300265476190493
0.0,7.369925528044202,4.404755258497709,0.5263657893470118,0.36603633310842404,363.0,93.5189446535298,51.363848976180634,1.0,1.0,2.0,1.0,0.0,0.0,1975.07,415.23,4004.57,246.63,89.21534642756896,11.74625508,0.5719716666666668,0.41917670833333337
0.0,6.746452063505555,2.797370600912038,0.5050224466507289,0.31578125674271057,642.0,98.69385147342686,41.76309049335741,2.0,1.0,1.0,0.0,1.0,0.0,1467.38,280.01,607.4,734.15,89.29906260876122,11.93622719,0.7856038095238095,0.09259831666666672
0.0,7.266019529586002,2.0645928154373334,0.5192662656135099,0.34148632309107857,294.0,75.04965106463227,45.742817843080054,2.0,0.0,0.0,2.0,1.0,2.0,3313.08,212.76,3635.85,690.65,99.27035267464187,12.37029545,0.8388126190476192,0.013956541666666666
0.0,6.845322860247052,3.9950702813791854,0.5038254052354261,0.32697753338653224,546.0,95.58822556291635,38.90751670145889,1.0,0.0,0.0,1.0,1.0,1.0,1810.22,215.79,77.26,630.9,96.54452276876461,11.57269946,0.8641192857142858,0.016557763095238084
0.0,7.261992336448936,3.4340383494880915,0.5203845962179738,0.3678666125575455,385.0,60.36459341583462,36.90737134814178,0.0,0.0,0.0,0.0,0.0,2.0,2974.93,410.44,3634.84,277.1,99.0454182126204,12.30329733,0.5975919047619047,0.0007635
0.0,6.71321537479939,3.9502126715831456,0.5194406490772345,0.371892216480741,351.0,78.93198382234192,38.180632949147906,0.0,0.0,1.0,2.0,1.0,1.0,1889.35,340.61,631.28,692.81,80.90797810407697,11.48501085,0.5683657142857144,0.032859974999999986
0.0,7.266868633631295,2.151846584619093,0.5074589051465752,0.3696352410993983,536.0,99.21225964329656,35.2828599359589,0.0,0.0,2.0,0.0,1.0,2.0,3572.83,278.65,1329.62,782.03,99.38078460999367,11.31748321,0.7978359523809526,0.3336312392857143
0.0,7.21556831936757,2.1828605682835684,0.5165056558218543,0.3422933722350364,629.0,89.14544470312352,47.196100423026344,2.0,1.0,1.0,0.0,0.0,1.0,2775.41,236.2,2190.72,647.18,82.10925481640605,11.23039996,0.754887619047619,0.027177300000000005
0.0,6.700532449862653,2.0901811559442716,0.7920136665400992,0.38386531744505503,144.0,98.5854522785647,34.983745357801936,0.0,0.0,2.0,1.0,1.0,1.0,1913.61,326.97,825.52,691.49,99.80483783681974,11.35857097,0.5216592857142854,0.03745775
0.0,7.266868633631295,2.151846584619093,0.5074589051465752,0.3696352410993983,536.0,99.21225964329656,35.2828599359589,0.0,0.0,2.0,0.0,1.0,2.0,3572.83,278.65,1329.62,782.03,99.38078460999367,11.31748321,0.7978359523809526,0.3336312392857143
0.0,5.000106218900349,4.298531025231937,0.5150775217508914,0.3634902594013405,470.0,99.7224361605902,55.35046792284522,0.0,1.0,2.0,2.0,0.0,0.0,1732.13,371.8,322.29,266.87,77.58943510900906,12.27882619,0.6509142857142856,0.44515385357142845
0.0,7.3365324503500515,2.309282394034178,0.5103808304846393,0.23763097510650671,1.0,79.88601288593983,32.32836955624054,2.0,1.0,1.0,0.0,0.0,1.0,2775.41,236.2,2190.72,647.18,96.88165444043915,11.13009093,0.753307142857143,0.007956625
3.0,6.012888018766071,3.658440435373277,0.723420674418068,0.3650875503426481,115.0,94.07617856960306,43.75871311066736,2.0,1.0,1.0,2.0,1.0,0.0,676.97,190.41,2882.69,209.97,82.58731106035053,11.12849979,0.7513738095238095,0.046739500000000024
0.0,5.155644449902815,3.5392262535731667,0.522669385931764,0.2541385735408716,461.0,88.49847061178404,41.542005484867985,1.0,0.0,0.0,0.0,0.0,0.0,326.74,162.59,3028.9,755.84,97.74723704963539,11.39382917,0.8766916666666665,0.008045500000000004
0.0,7.372688978392065,2.149501706876975,0.5152567634536622,0.3630747696606325,592.0,98.23986889020992,36.587823280561366,0.0,1.0,0.0,1.0,0.0,0.0,2823.94,340.35,190.55,268.99,97.24824591849811,12.04757798,0.6135683333333334,0.003453
1.0,6.798714619732779,2.5105004068979557,0.517782809994672,0.36260936819692985,1.0,73.72918692432688,35.096308220040356,2.0,1.0,1.0,2.0,1.0,0.0,110.69,488.87,519.32,262.95,72.41852269508146,11.26245197,0.3597664285714287,0.13011700000000004
