PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS,FTG
0,6.974605406107513,2.1236150771204247,0.7669445219101141,0.3076976599334031,495,50.213798653916314,42.01513176463866,2.0,1,2,2.0,1,1,801.43,728.17,364.2,741.87,68.3625579134233,11.76602082,0.42,0.0041385
0,5.00259665273116,2.0969933590199625,0.7391796602693219,0.13778271270170608,123,35.645510310785454,56.434043516084074,2.0,0,0,1.0,1,0,267.3,157.62,4377.75,457.08,93.28673011571043,11.76288775,0.86,0.002631
0,7.326343993483664,2.111809207946253,0.6704673917235664,0.19733183203295426,616,42.751193295349076,75.70087483525226,2.0,0,1,1.0,0,2,1225.98,208.77,1403.17,341.99,80.43551155360265,11.44531527,0.42,0.05319970833333331
0,7.349962420236314,2.1315490050814865,0.7876941976281447,0.34357674731057153,488,75.04224898122645,41.92734123508903,2.0,0,1,1.0,0,1,210.64,762.82,1730.07,368.56,62.036251824575324,12.26656823,0.63,0.004051833333333333
0,6.562102149637949,3.0334773160700097,0.7627815181329486,0.1504284976417444,451,65.75808350675095,73.76833033736244,1.0,1,1,2.0,0,1,526.6,250.38,305.31,750.11,70.320803,11.21870049,0.01,0.05899781904761903
0,6.8009014923572355,2.121229893898599,0.7738386981988046,0.1432347787559292,687,69.24972703536383,37.86269693745843,0.0,1,2,1.0,1,0,169.43,713.47,3733.34,215.79,93.25042791770623,11.34362422,0.62,0.12733891666666664
4,5.700001903074721,4.019321447921685,0.7775657194413311,0.29089797959265534,1,89.70367155515994,48.85472566101721,2.0,0,1,1.0,0,2,2865.39,191.72,2906.42,194.69,51.265426331069364,11.26618748,0.2759,0.04503800000000001
0,5.008991805217945,2.066523529190286,0.7823286897072215,0.257218977596697,339,32.09333884575722,53.76506436487597,0.0,1,0,0.0,0,0,331.56,160.89,2208.45,330.22,98.82662205279561,11.40369547,0.89,0.003930500000000002
0,5.03370608169785,2.108948721797537,0.6743643667970498,0.2828072511636184,145,40.26962655025016,68.73428442092879,0.0,0,0,2.0,1,1,1976.28,407.9,2528.11,229.78,93.89430899607481,12.05550181,0.8445,0.003327933333333334
0,5.011356043421569,2.0446037018500975,0.7594685909463789,0.13219782325214824,317,30.03820648271336,36.63907344876878,1.0,1,0,0.0,1,2,374.45,179.26,4048.1,687.35,93.27140691701564,11.25151536,0.85,0.0021590000000000003
