PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS,FTG
0,5.036106268590405,2.049314144034738,0.66136243161578,0.25087620024260127,495,57.038585340140315,96.60989107694925,2.0,1,2,2.0,1,1,801.43,728.17,364.2,741.87,62.097960067544804,11.76602082,0.73,0.11465989166666667
0,5.220854200751777,2.002581121213988,0.7813846178754602,0.1854532084122791,123,67.39750317732467,50.15188248130242,2.0,0,0,1.0,1,0,267.3,157.62,4377.75,457.08,84.06854565675788,11.76288775,0.23,0.0018944999999999997
0,5.999302658748349,3.5498263696121923,0.652745329137288,0.2883393156925997,616,62.15988464133778,62.039536145832194,2.0,0,1,1.0,0,2,1225.98,208.77,1403.17,341.99,67.66979122502791,11.44531527,0.8085,0.07194398333333331
0,5.06740650648196,3.7291683187785134,0.5047074706771587,0.34243537252620115,488,60.19676952421764,44.22412450082331,2.0,0,1,1.0,0,1,210.64,762.82,1730.07,368.56,79.59254442285199,12.26656823,0.8858333333333335,0.06084425892857143
0,6.3437563289601755,3.4059983647180765,0.5292999608230543,0.21994688321840736,451,41.91358294439486,37.967456419827535,1.0,1,1,2.0,0,1,526.6,250.38,305.31,750.11,96.38644304031337,11.21870049,0.84,0.12294664642857157
0,6.64365182044347,2.021027578173979,0.7551328656112573,0.1106025482766679,687,99.98611189540652,36.34951364651789,0.0,1,2,1.0,1,0,169.43,713.47,3733.34,215.79,95.04979262020798,11.34362422,0.54,0.13048549999999998
4,5.69974995666377,3.959929590430142,0.7343412783114676,0.3411811333631243,1,93.93756732007343,48.474023114172205,2.0,0,1,1.0,0,2,2865.39,191.72,2906.42,194.69,50.14849866031325,11.26618748,0.3666666666666667,0.04481150000000001
0,5.705997592678745,4.007204806384371,0.6978836277821641,0.3150268297322048,339,41.8785038467724,49.179535053384114,0.0,1,0,0.0,0,0,331.56,160.89,2208.45,330.22,76.38892442323916,11.40369547,0.8565,0.004140500000000001
0,6.718700705219147,2.0857929764129386,0.7041495137525869,0.1478793455081715,145,39.552444224843725,75.33672006856457,0.0,0,0,2.0,1,1,1976.28,407.9,2528.11,229.78,77.73460840993248,12.05550181,0.22,0.0
0,5.031692215883688,3.2385483693109793,0.7707412283745346,0.3838191873998157,317,46.25722574465281,53.43590022398658,1.0,1,0,0.0,1,2,374.45,179.26,4048.1,687.35,94.99220618062091,11.25151536,0.555,0.0027865
0,5.6852518878184295,4.361837247247782,0.7629350934959845,0.343932866277569,484,43.75743461503674,56.73520225802092,0.0,0,1,2.0,0,2,2243.24,545.97,2157.96,672.09,81.23598218607667,12.12244509,0.64,0.05550554047619049
2,6.025608370984903,3.920745438259064,0.6709637195621531,0.2275911934494585,335,42.24012357753004,42.2686994352943,0.0,1,0,1.0,0,1,104.08,278.9,1676.47,169.83,92.02521897378966,12.03736869,0.975,0.04649750000000001
0,7.038412576261476,2.1285773811769464,0.6337409047339644,0.2825594370976761,466,98.65415566104956,63.903983994844666,0.0,0,1,1.0,0,1,3922.46,260.71,1380.68,415.8,78.1508219808989,11.65040445,0.97,0.05891418333333332
5,5.921461686451648,3.0366223462588757,0.6774190025902025,0.2789739226102638,167,33.77330163023346,42.976497012424225,1.0,0,0,0.0,0,2,2607.15,190.86,2866.97,194.21,56.554711124141285,11.57133473,1.0,0.0030761
0,5.038096096147917,3.9444089384032934,0.7579777541230415,0.3379913375034404,363,37.404974497696806,83.26019869872113,1.0,0,0,2.0,0,0,311.58,155.65,2436.27,221.71,92.78455076823836,12.22940599,0.93,0.00610175
