PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS,FTG
0,5.015552908948121,2.067450139447189,0.7492325376401526,0.33699219127885455,431,35.38237732177557,41.45127589313244,0.0,0,2,1.0,0,1,3754.34,789.02,176.55,363.53,66.50057104676736,11.15689104,0.61,0.29673803333333326
0,6.816345452799518,2.00031391255865,0.7317354533907294,0.10177694997952097,687,41.496316468299604,32.519396903741345,0.0,1,2,1.0,1,0,169.43,713.47,3733.34,215.79,47.09421831664791,11.34362422,0.3,0.11253074999999997
0,5.1761314326856365,2.3987132900924326,0.776347558170631,0.3360758755434113,275,99.86280305333507,62.17243332164625,2.0,1,1,0.0,1,0,1549.93,226.38,3014.82,769.25,79.35862260963833,11.26937099,0.33,0.05792497083333333
4,7.3242245502636525,2.7835604453981073,0.7807190434360639,0.37322981501443564,92,78.0172264558444,41.953258270103994,2.0,1,0,2.0,1,0,2360.09,171.92,2850.06,197.14,30.24069189884247,11.4992673,0.87,0.018579500000000006
1,5.035353561422372,2.0408286530227944,0.5947289390859403,0.2659707983100284,195,96.29854074861753,43.735925956534814,2.0,1,1,2.0,1,0,110.69,488.87,519.32,262.95,99.6980423221211,11.19888415,0.51,0.1690104999999999
0,6.5237726288548705,2.0540674004998016,0.7703180620233131,0.298410426186838,467,67.70478583886742,95.58230423629398,1.0,0,1,1.0,1,2,2679.6,262.09,3458.65,749.55,79.82411533981389,11.22605433,0.41,0.027677583333333332
2,6.048644611188374,4.013094292593357,0.6755518812911587,0.2221284539357651,167,66.8140985638819,92.3994815406486,0.0,1,0,1.0,0,1,104.08,278.9,1676.47,169.83,88.0853363979675,11.98768747,0.42,0.030113000000000015
5,5.899788471416919,2.124883647365218,0.6612817694297562,0.33621552662758974,162,68.16395837243422,50.997306544863015,0.0,0,1,2.0,0,2,2939.18,197.06,2916.71,200.29,68.65006215471854,12.02628482,1.0,0.0
0,5.001499441669457,2.1116479635499354,0.769645576630274,0.22312550371283377,180,47.43340702719697,45.42715792194345,1.0,1,2,2.0,1,2,355.76,177.88,138.53,411.75,42.70382211668322,11.11601072,0.42,0.060345999999999976
0,5.021541740069884,4.069140074674099,0.5928935477184677,0.37170961854068385,323,53.24445020567859,30.559766892424207,0.0,0,0,1.0,1,1,2233.51,464.92,2434.94,304.36,88.81127823867968,12.29929284,0.65,0.02501614166666667
0,5.007870893833996,2.0505792181189477,0.7750854692134865,0.374035821653681,1,39.95290629408864,42.131121021180256,0.0,0,0,2.0,1,1,1976.28,407.9,2528.11,229.78,86.47910354939981,12.01411345,0.56,0.0031899333333333334
2,5.874237924893363,4.018401322212103,0.673954404586527,0.36365977130944,110,64.94191754038094,55.764229821784454,2.0,0,0,0.0,1,1,545.18,195.08,1400.0,200.0,82.23124918187206,11.49312885,0.38,0.03867733333333335
0,5.007870893833996,2.0505792181189477,0.7750854692134865,0.374035821653681,1,39.95290629408864,42.131121021180256,0.0,0,0,2.0,1,1,1976.28,407.9,2528.11,229.78,86.47910354939981,12.0141163,0.56,0.0031899333333333334
0,6.9031314310766225,4.081405281042433,0.5054735467069837,0.3679162471278912,546,57.17152288842354,37.22143924178707,1.0,0,0,2.0,0,0,1808.47,343.5,2436.27,221.71,82.66012220673171,12.28428851,0.52,0.014039807142857146
0,5.03562213252918,2.383110341280161,0.77318975842775,0.148762741706432,274,57.849528409668864,37.226251602932024,1.0,0,2,2.0,0,0,4377.5,337.95,2412.61,597.02,68.60143921013895,11.80192087,0.28,0.32927475714285714
4,5.68343643478592,4.2475855369777955,0.5800007716132068,0.38473754538205956,1,95.85667284352503,74.08952530534465,2.0,0,1,1.0,0,2,2903.19,193.58,2906.42,194.69,38.59121643734126,11.26618794,0.82,0.05296460000000001
0,5.02832650865091,2.0060125100493145,0.781169898958187,0.33615692026928246,419,48.634135708781,41.87513858117589,1.0,0,2,0.0,0,1,897.86,674.11,1003.85,774.62,42.55721619371341,11.48857856,0.66,0.3247840666666668
0,6.427824432524167,2.5858234920127012,0.7799843561620091,0.383020455689592,145,38.58876516959732,58.36463568278685,0.0,0,0,2.0,1,1,1976.28,407.9,2528.11,229.78,78.70411949025375,12.0555069,0.24,0.0002605
1,6.318622418828151,2.0553043751675597,0.576334188837633,0.3112410385686085,310,43.92280389957447,57.096949455866934,2.0,0,0,1.0,0,0,363.25,161.1,3018.72,499.71,76.64772707945804,12.15363419,0.26,0.11683083333333348
0,5.003706991859484,3.9823180935276805,0.6659070429713317,0.3901624339898375,661,56.88692555669846,42.19914125649941,1.0,1,1,1.0,1,1,3648.55,292.68,2405.18,406.77,94.1601674156577,12.2023861,0.84,0.2365369583333334
0,5.0327762885459535,4.402092944547032,0.6542260583413644,0.3708413588732119,427,98.92726806069139,33.76922749360968,1.0,1,2,2.0,0,0,1867.55,234.08,2356.35,560.55,94.47899177734236,11.92814216,0.77,0.4155448904761904
1,5.155507606667551,3.992893097599204,0.5998642260202024,0.3849600967716164,276,37.52240025760029,67.79277704170255,2.0,1,0,0.0,1,1,595.02,193.39,1708.7,241.22,64.96288835690842,12.28037109,0.67,0.06499329999999995
0,6.795034473422127,2.573063046847655,0.7431999757822623,0.35735066494111173,265,96.35417450137533,56.52564407137033,2.0,1,1,0.0,1,2,394.74,767.75,1983.4,299.33,77.84278194587188,11.83250579,0.11,0.0038324666666666673
0,5.005277163752841,3.916394326622757,0.7251261471596923,0.3782057078338379,1,75.15778889624232,82.52015211687888,1.0,1,0,0.0,1,2,329.08,164.54,4048.1,687.35,93.06946284590543,11.15940359,0.52,0.004236500000000005
0,5.015295761966319,2.1121009202983143,0.7829985650347799,0.2581174306772828,360,33.9302394737458,52.405963044944926,1.0,1,2,2.0,1,2,1909.3,165.27,138.53,411.75,95.26727096856793,11.16857676,0.62,0.34208344999999984
0,7.054043573872738,4.075940608992084,0.5090950007251559,0.2801447031773276,465,58.211891660852885,44.54929981750662,2.0,0,0,1.0,0,0,1803.78,378.72,2999.74,645.48,82.37711437186354,12.20063445,0.36,0.011445500000000003
