PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS,FTG
0,5.024716226624624,4.4329055848401495,0.7586523654808601,0.10341659264131702,495,48.24973637578575,56.50575485963045,2.0,1,2,2.0,1,1,801.43,728.17,364.2,741.87,59.81664040536269,11.76602082,0.6,0.09663024999999999
0,5.025396369788226,3.574107240257924,0.7232312365992504,0.26954960323409727,123,55.52103155438225,64.36649577322974,2.0,0,0,1.0,1,0,267.3,157.62,4377.75,457.08,99.09518644907563,11.76288775,0.4,0.0020329999999999997
0,6.4788834516240525,2.961220527258111,0.660825475394016,0.2233801206377903,616,98.21417169051358,95.12156480704115,2.0,0,1,1.0,0,2,1225.98,208.77,1403.17,341.99,83.30730190769212,11.44531527,0.13,0.051757833333333336
0,5.030609923141945,2.119054925393591,0.6824888052409875,0.38653911562626936,488,47.056851117811135,69.61250643982952,2.0,0,1,1.0,0,1,210.64,762.82,1730.07,368.56,80.47829692479108,12.26656823,0.81,0.05805385892857144
0,6.35143388397684,2.0365007506021793,0.7949389828058191,0.21616394672582454,451,98.57681722101842,42.625005515258856,1.0,1,1,2.0,0,1,526.6,250.38,305.31,750.11,70.38679465622262,11.21870049,0.41,0.06351341071428572
0,5.03496212193373,3.9601978423080757,0.7801576053838237,0.12809800042027092,687,57.134704576116775,44.211203813778454,0.0,1,2,1.0,1,0,169.43,713.47,3733.34,215.79,35.95503500782466,11.34362422,0.44,0.18463529166666676
4,5.01017440229863,4.164098769504591,0.7507482398447065,0.38937413556571004,1,88.80139750614815,73.49431537607927,2.0,0,1,1.0,0,2,2865.39,191.72,2906.42,194.69,38.60008883998096,11.26618748,0.76,0.0563406
0,6.059776462460217,4.400096027979239,0.7522372046592225,0.24524699215604687,339,99.35300784959576,48.859154582604084,0.0,1,0,0.0,0,0,331.56,160.89,2208.45,330.22,90.25160774910903,11.40369547,0.84,0.004377500000000001
0,6.5515912118917745,3.528736028830154,0.7738648260933545,0.26747537609520056,145,37.95313295240903,58.98391914736978,0.0,0,0,2.0,1,1,1976.28,407.9,2528.11,229.78,97.10151775056644,12.05550181,0.21,0.000144
0,5.020635362469486,3.484518663989048,0.7542308542578817,0.16246336735659211,317,41.38033171509612,43.807836977858464,1.0,1,0,0.0,1,2,374.45,179.26,4048.1,687.35,64.82013684214053,11.25151536,0.34,0.0014435000000000001
0,6.872798342054732,3.129972514590989,0.7669083293881317,0.2272351516420284,484,97.55454945379799,42.925503964993936,0.0,0,1,2.0,0,2,2243.24,545.97,2157.96,672.09,79.10092870081509,12.12244509,0.21,0.03149222380952381
2,5.062303631833536,4.001550969998722,0.6764260341826341,0.3424702259851995,335,71.37874949731524,45.32895947650191,0.0,1,0,1.0,0,1,104.08,278.9,1676.47,169.83,80.86158706350425,12.03736869,0.82,0.04256750000000001
0,5.000009902123667,2.1250344676178425,0.6275554648040036,0.3447046141732134,466,45.140565762351045,55.873816888562196,0.0,0,1,1.0,0,1,3922.46,260.71,1380.68,415.8,76.19916007594156,11.65040445,0.78,0.068553525
5,5.930096498842231,3.060845989853847,0.5339738213683826,0.2820523287581123,167,33.191890496039534,43.61521235631291,1.0,0,0,0.0,0,2,2607.15,190.86,2866.97,194.21,56.79464733169511,11.57133473,0.85,0.0032051
0,5.074342940394835,4.035455253890972,0.7498715465610692,0.3452492435636245,363,41.541016899006735,58.210863762400656,1.0,0,0,2.0,0,0,311.58,155.65,2436.27,221.71,97.2809493824543,12.22940599,0.78,0.005438999999999999
0,5.012035797323371,2.117112571510774,0.6834274527156066,0.3939495380815038,210,44.859702729130966,61.07838358581398,2.0,1,1,0.0,0,1,2775.41,236.2,2190.72,647.18,99.69318388681319,11.10645457,0.55,0.04893622499999999
0,5.024549164151429,2.0048361278370965,0.6493751238803709,0.3258902163704734,629,98.24485537814124,95.03776845758097,2.0,1,1,0.0,0,1,2775.41,236.2,2190.72,647.18,77.07192872008142,11.23039996,0.7,0.039424949999999986
0,5.007175817577897,2.0181905730062817,0.7728837836673124,0.3778618354874372,119,88.33183794862039,55.008883200174985,1.0,1,1,1.0,1,1,310.72,131.25,618.66,271.69,67.90139650527776,12.15939302,0.55,0.016962442857142858
5,5.867898042700935,4.2828581547671325,0.7208351382118006,0.3719425599806252,167,65.73581323013774,81.8906361008732,0.0,1,0,1.0,0,1,5485.22,133.51,2882.08,197.64,83.20414648741904,11.98770016,0.93,0.012537374999999996
1,5.018872839341758,3.996484401115897,0.6715007851953659,0.24684080167080352,310,94.9520518577708,46.287612309157204,2.0,0,0,1.0,0,0,363.25,161.1,2742.97,198.59,64.66725159887791,12.15362665,0.59,0.03500700000000002
0,5.0122180387854485,2.04226296129979,0.7725398038457533,0.2595783211102013,176,91.66781083731605,53.12083309591221,0.0,0,1,2.0,1,1,1889.35,340.61,631.28,692.81,72.3364554811417,11.43420428,0.49,0.02699560119047619
0,6.6257460998228215,2.133249622564728,0.7496537395321997,0.13337103589571375,540,31.596486990809634,30.16909191597023,1.0,1,2,2.0,1,2,3115.69,584.43,138.53,411.75,59.092636400585256,11.22282963,0.21,0.3281938250000001
3,5.022158526991821,3.7574983251293035,0.6053799348818587,0.3462334135416215,285,59.80499900543073,32.533110760466606,1.0,1,2,2.0,0,0,489.61,175.89,2886.28,195.34,39.590150376613096,11.88476793,0.82,0.25285650000000004
