PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS,FTG
5,6.264454371833616,2.8343201662869943,0.7718347781916768,0.15154903014093893,231,83.83883579947694,97.4023187952149,1.0,0,1,0.0,0,1,2744.03,193.75,2937.77,196.4,63.079736871817374,11.11744756,0.7537444047619047,0.004655
0,5.011861540744992,3.9620671295987853,0.5652475553741595,0.34609100738760046,257,99.63023963569267,88.39114785295857,1.0,1,2,0.0,1,0,387.72,259.61,2926.68,408.94,99.41683753294076,12.39720755,0.6686319047619048,0.34565616666666654
0,5.092887492762149,2.0340884098483363,0.5604135518155665,0.37569109198009193,508,98.491698187884,98.1660391587795,0.0,1,1,2.0,1,0,4332.25,220.93,1623.48,284.73,82.54263923432522,12.30002911,0.6613927380952381,0.1957728583333333
0,6.0164638646580055,4.065087234307911,0.530540459844253,0.35697307920632537,269,80.93712702409749,46.410899144162045,1.0,1,0,2.0,1,2,985.35,180.15,1500.49,362.55,97.89673120713428,11.26010404,0.5717433333333333,0.021102707142857127
0,6.19287566091376,2.1148651917934846,0.5063731333469905,0.3074690485592183,116,33.18916970229042,42.185715239682175,2.0,1,0,1.0,1,0,2970.74,312.58,403.78,753.84,87.97713324412254,11.12666509,0.4880666666666667,2.3999999999999997e-05
5,6.566873649488816,3.865133198562872,0.6548296264678816,0.31086332752136986,1,99.83159153130484,45.06632808281738,1.0,1,2,2.0,0,0,2462.68,187.56,2886.28,195.34,97.49718833772603,11.80246054,0.9665,0.10960974999999998
0,7.243587675563119,4.046093365471951,0.5028428876756418,0.2180451150371055,289,39.96924387132847,32.23931643412928,1.0,1,0,2.0,1,1,3015.77,759.21,4434.23,442.63,99.90963321084408,11.80914934,0.40357583333333324,0.012013666666666662
1,5.003469482119667,3.3147845443325434,0.5063247598361236,0.39695886707142514,135,97.40965946357177,59.713889899739485,2.0,0,1,2.0,1,2,537.9,195.31,1371.8,217.54,98.96138821451312,12.28256139,0.7394749999999999,0.20648041666666664
0,5.201286331485658,3.9989538311859447,0.7487362678781975,0.16414629616639825,221,30.329629865758072,42.47404284199813,0.0,0,0,2.0,0,2,345.53,169.44,1596.1,315.44,82.20037787824937,12.19210441,0.3758416666666665,0.005065166666666666
0,7.363949448911299,2.0034863608986537,0.5412576657295405,0.3522429716493996,372,58.56479570014427,49.98272754116366,2.0,0,0,2.0,1,0,3138.2,228.91,1217.09,746.95,90.4112834549488,12.19614013,0.6701616666666667,0.0
4,5.0338978129451935,2.038226394736611,0.7046548696352369,0.3621616779717452,1,57.15024508449203,35.8730021433562,0.0,0,0,2.0,0,2,1253.73,400.55,2877.66,195.43,78.31699744132517,11.40496291,0.709987738095238,0.025974125000000004
0,5.007518941484911,3.4635937981482274,0.5409126955490163,0.3809882165075601,513,61.124938482318434,58.767859050818934,2.0,1,0,2.0,1,1,2737.48,327.36,1231.01,749.07,99.51539908830608,11.97728287,0.6220021428571431,0.0072196833333333325
4,7.424112616917762,2.7814675020803157,0.7075495721545837,0.36541538489014797,92,56.714397240558355,36.223671127959484,2.0,1,0,2.0,1,0,2364.23,185.38,2862.26,197.3,40.43310184171983,11.49926802,0.5421246428571428,0.018106500000000008
0,5.050217992518286,4.3584672926525165,0.5205966704080391,0.34103977093032845,309,99.78054807856944,39.149212817718684,1.0,1,0,0.0,0,0,4347.14,534.45,352.97,220.62,82.2894207702808,12.0021403,0.5621800000000001,0.022941463095238087
0,6.871670742993242,2.111818401092028,0.7838786141451746,0.3565523376920623,431,51.32623102658534,45.44475006829185,0.0,0,2,1.0,0,1,3754.34,789.02,176.55,363.53,99.49053448501772,11.15689104,0.5619439285714286,0.28278187499999985
